"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
9.55,4.55,95,1,52.71,5.75,"Equipo_3","Auth","Medium","Success"
5.75,8.95,121,2,73.08,5.57,"Equipo_1","API","Low","Success"
8.49,10.64,126,1,70.97,42.66,"Equipo_3","Payments","Medium","Success"
5.61,6.04,108,1,89.13,29.93,"Equipo_2","Dashboard","High","Success"
8.1,5.79,122,3,96.92,2.95,"Equipo_2","Dashboard","Medium","Success"
4.95,7.95,116,2,45.41,33.07,"Equipo_5","Database","Medium","Success"
12.82,11.85,134,3,69.31,5.57,"Equipo_5","API","Low","Success"
15.88,9.07,114,0,67.2,34.87,"Equipo_3","Auth","High","Success"
7.09,9.75,148,0,75.23,7.73,"Equipo_3","Auth","High","Success"
12.05,4.58,133,2,92.46,17.75,"Equipo_1","Auth","Low","Success"
12.8,10.93,129,1,45.48,14.73,"Equipo_4","Database","Low","Success"
6.78,5.73,122,3,93.91,23.62,"Equipo_2","Database","Medium","Success"
4.84,7.56,107,1,63.18,9.58,"Equipo_4","Database","High","Success"
20.8,6.36,144,0,89.96,88.28,"Equipo_2","Dashboard","Low","Success"
14.82,6.96,96,2,94.25,7.13,"Equipo_4","Auth","Low","Success"
13.98,5.96,141,0,73.47,18.97,"Equipo_3","API","Medium","Success"
5.25,10.18,127,2,57.51,22.51,"Equipo_3","API","Critical","Success"
8.84,7.05,126,2,88.2,16.3,"Equipo_3","API","Medium","Success"
9.45,5.37,122,1,60.5,27.9,"Equipo_2","Auth","Low","Success"
7.3,15.1,116,0,47.16,4.41,"Equipo_5","Auth","High","Success"
13.69,9.15,126,2,56.51,9.8,"Equipo_4","Auth","Medium","Failed"
7.47,8.97,116,1,86.07,46.29,"Equipo_3","Database","Medium","Success"
8.89,4.13,118,3,49.17,15.58,"Equipo_1","Database","Low","Success"
18.06,9.7,132,1,93.81,50.28,"Equipo_4","Payments","Low","Success"
13.31,10.14,115,2,68.85,14.65,"Equipo_3","Dashboard","Medium","Success"
5.6,8.06,133,0,53.92,30.59,"Equipo_2","Payments","Medium","Success"
7.45,3.52,128,2,55.86,17.76,"Equipo_2","API","Medium","Success"
2.28,10.8,117,4,70.84,8.72,"Equipo_2","Auth","High","Success"
4.15,13.17,129,1,81.91,18.31,"Equipo_2","API","Medium","Success"
8.18,7.83,125,0,59.83,5.54,"Equipo_2","Dashboard","Low","Success"
3.84,6.9,111,2,52.15,33.99,"Equipo_5","Auth","Medium","Success"
8.81,8.09,118,3,79.62,19.73,"Equipo_2","Auth","Medium","Success"
8.99,12.3,124,1,54.08,13.07,"Equipo_1","Auth","Medium","Success"
5.64,5.68,128,1,91.05,12.86,"Equipo_1","API","Low","Success"
18.09,10.1,117,3,63.65,6.23,"Equipo_5","Database","Low","Success"
10.33,3.52,118,2,67.54,25.11,"Equipo_4","Payments","Medium","Success"
4.76,5.67,138,1,86.9,47.92,"Equipo_5","Dashboard","Medium","Success"
9,3.61,114,1,68.73,16.35,"Equipo_3","API","Medium","Success"
14.39,8.55,130,1,73.13,80.14,"Equipo_5","Auth","Low","Success"
16.15,5.59,120,1,67.71,24.1,"Equipo_2","API","Low","Success"
4.95,5.38,124,1,91.47,20.21,"Equipo_3","Database","Low","Rolled_Back"
4.94,5.75,125,1,75.94,36.49,"Equipo_3","Database","Low","Rolled_Back"
7.12,6.65,123,2,65.29,23.94,"Equipo_5","Dashboard","High","Success"
7.63,7.57,120,2,50.76,30.26,"Equipo_3","Database","Low","Success"
5.63,12.13,119,0,57.41,39.48,"Equipo_4","Auth","Critical","Rolled_Back"
16.23,11.15,105,0,48.66,10.91,"Equipo_5","API","Medium","Failed"
7.26,7.04,109,1,46.68,40.67,"Equipo_1","Payments","Low","Success"
10.14,9.79,111,1,83.58,26.11,"Equipo_2","Dashboard","Low","Success"
2.87,8.28,130,3,85.94,22.75,"Equipo_3","API","Low","Success"
3.62,6.95,132,1,83.7,25.18,"Equipo_3","Auth","Low","Success"
16.38,9.15,81,1,95.5,36.9,"Equipo_5","API","Low","Success"
5.26,8.31,115,4,65.21,15.51,"Equipo_1","Dashboard","Medium","Success"
4.51,9.75,126,1,68.95,11.08,"Equipo_1","Auth","Low","Success"
4.26,7.19,106,2,72.86,40.95,"Equipo_1","Dashboard","Medium","Failed"
6.88,6.94,113,3,83.68,27.49,"Equipo_3","API","Medium","Rolled_Back"
21.78,6.78,111,1,81.28,21.84,"Equipo_5","Database","Medium","Success"
7.89,9.64,105,2,58.73,9.56,"Equipo_4","Dashboard","Low","Success"
9.71,9.09,96,2,98.33,32.83,"Equipo_3","Auth","Low","Failed"
7.53,9.97,116,0,74.14,31.65,"Equipo_2","Database","High","Success"
12.1,6.47,130,2,98.59,39.25,"Equipo_4","Dashboard","Medium","Success"
15.44,6.87,117,2,93.19,61.23,"Equipo_5","Database","Medium","Success"
9.36,4.95,136,1,93.5,14.14,"Equipo_5","Payments","Low","Success"
13.2,4.32,112,3,69.9,24.78,"Equipo_2","Dashboard","High","Success"
8.05,9.52,120,1,56.15,2.4,"Equipo_5","Database","Medium","Success"
7.54,4.41,118,1,54.62,28.98,"Equipo_2","Payments","High","Success"
17.59,6.98,113,2,93.6,75.86,"Equipo_2","API","Medium","Success"
13.04,8.08,134,2,56.77,9.99,"Equipo_4","Auth","Medium","Success"
8.37,5.17,118,1,87.58,3.36,"Equipo_1","Dashboard","High","Success"
5.34,13,114,2,46.98,10.35,"Equipo_3","Payments","Medium","Success"
11.17,8.39,111,1,99.67,36.46,"Equipo_5","Dashboard","Medium","Success"
8.97,8.52,131,1,52.59,20.44,"Equipo_1","API","Low","Failed"
10.74,8.96,120,1,60.1,32.39,"Equipo_4","Dashboard","Low","Success"
19.81,7.52,87,0,54.01,13.56,"Equipo_4","API","High","Success"
9.91,4.05,108,1,60.65,43.76,"Equipo_4","Auth","Low","Success"
16.15,8.5,94,3,88.27,6.84,"Equipo_2","Dashboard","Medium","Success"
6.78,4.37,127,3,93.97,33.12,"Equipo_2","Database","High","Success"
12.22,9.29,100,2,57.41,17.78,"Equipo_5","Auth","Low","Success"
11.5,7.73,124,1,57.38,19.26,"Equipo_2","Payments","Low","Success"
5.8,8.82,127,4,86.51,26.8,"Equipo_4","Database","Medium","Success"
13.5,5.71,129,2,50.19,22.79,"Equipo_4","Database","Medium","Success"
8.68,8.2,124,4,89.82,4.13,"Equipo_4","Dashboard","Low","Success"
10.1,6.98,101,3,88.77,1.82,"Equipo_3","Payments","High","Success"
4.35,9.16,119,1,88.25,35.93,"Equipo_4","Dashboard","High","Success"
4.14,7.43,121,1,85.24,30.08,"Equipo_3","Database","Medium","Success"
10.79,8,137,0,72.19,8.42,"Equipo_3","Dashboard","High","Rolled_Back"
11.66,6.81,133,1,55.74,13.4,"Equipo_5","Payments","Low","Success"
18.35,4.74,122,2,99.04,4.82,"Equipo_5","Auth","Low","Failed"
9.55,7.98,118,1,89.08,8.35,"Equipo_1","Dashboard","Medium","Success"
2.51,7.98,120,2,82.37,14.04,"Equipo_1","Database","Medium","Success"
8.15,8.02,121,1,57.11,48.42,"Equipo_2","Payments","Medium","Success"
19.86,5.13,123,3,97.41,4.81,"Equipo_3","Dashboard","Medium","Failed"
4.11,10.45,94,0,82.6,14.59,"Equipo_3","Payments","Medium","Success"
9.89,9.54,99,0,93.22,7.98,"Equipo_3","Auth","Low","Failed"
11.67,7.4,133,1,57.92,20.19,"Equipo_5","API","Medium","Success"
5.18,9.53,126,4,94.29,11.93,"Equipo_4","API","Low","Success"
8.23,4.39,110,1,45.36,32.2,"Equipo_3","Auth","Medium","Rolled_Back"
8.82,2.27,136,2,52.62,11.48,"Equipo_2","API","High","Success"
9.46,8.76,120,1,70.26,30.03,"Equipo_1","Payments","Low","Success"
8.65,11.97,105,1,54.28,48.53,"Equipo_1","Dashboard","Medium","Success"
9.15,6.52,128,0,52.33,35.03,"Equipo_3","Auth","Medium","Success"
9.49,8.22,109,3,73.04,43.23,"Equipo_5","Payments","Medium","Success"
10.08,9.64,133,3,54,27.98,"Equipo_5","Payments","Low","Success"
4.38,10.41,121,3,65.09,2.74,"Equipo_3","Dashboard","Medium","Success"
16,4.35,136,1,77.79,17.15,"Equipo_1","Payments","Low","Success"
14.05,8.01,131,1,76.43,22.32,"Equipo_4","Payments","Low","Success"
8.64,5.44,128,1,70.88,6.29,"Equipo_5","API","Low","Success"
10.91,7.38,102,1,48.94,3,"Equipo_1","Dashboard","Low","Rolled_Back"
8.28,6.21,108,1,60.6,5.6,"Equipo_3","Auth","High","Success"
10.83,7.55,114,0,80.5,17.74,"Equipo_3","Payments","Low","Success"
6.99,7.24,112,1,47.31,42.68,"Equipo_4","Payments","Medium","Failed"
15.09,4.94,111,0,63.88,9.87,"Equipo_1","Auth","Medium","Success"
7.88,7.06,97,4,84.69,2.81,"Equipo_5","Database","Low","Success"
3.89,10.19,127,1,57.87,3.45,"Equipo_5","Payments","Medium","Success"
7.13,7.41,121,6,78.66,2.98,"Equipo_4","Database","Medium","Success"
14.22,5.11,116,1,53.15,40.45,"Equipo_2","Dashboard","Medium","Success"
0.8,8.07,116,0,64.65,62.58,"Equipo_2","Database","Low","Success"
8.9,4.27,128,2,60.49,16.14,"Equipo_5","Dashboard","Medium","Success"
15.45,5.92,122,3,89.91,19.57,"Equipo_2","Payments","Medium","Success"
12.67,7.41,126,2,94.6,20,"Equipo_5","Auth","Medium","Success"
9.84,5.72,116,1,73.1,15.88,"Equipo_3","API","Low","Success"
4.89,7.24,111,1,81.51,13.61,"Equipo_5","API","Medium","Success"
15.08,10.93,114,1,62.58,8.97,"Equipo_4","Payments","Medium","Success"
4.1,3.32,114,1,57.82,30.72,"Equipo_5","Payments","Critical","Success"
8.83,3.25,120,3,89.41,21.97,"Equipo_5","API","Low","Rolled_Back"
8.89,8.04,136,2,71.5,5.43,"Equipo_4","Payments","High","Success"
6.97,7.04,129,1,89.69,28.39,"Equipo_1","API","Low","Failed"
4.95,7.58,116,0,96.47,26.53,"Equipo_4","API","Low","Success"
13.13,9.19,115,1,83.11,6.15,"Equipo_1","Dashboard","Medium","Success"
15.06,10.62,116,2,50.76,20.83,"Equipo_5","Payments","High","Success"
5.09,7.18,128,0,67.49,5.69,"Equipo_4","API","Medium","Success"
5.15,10.41,122,1,91.38,25.17,"Equipo_1","Payments","High","Success"
6.97,12.17,110,0,77.5,20.55,"Equipo_4","Database","Critical","Success"
5.2,5.29,129,0,79.29,44.98,"Equipo_5","Payments","Medium","Success"
9.86,10.76,127,2,63.16,45.52,"Equipo_1","API","Medium","Failed"
16.49,12.3,107,1,55.16,25.1,"Equipo_3","API","Medium","Success"
4.81,10.05,109,3,80.75,10.32,"Equipo_5","Payments","Medium","Success"
2.86,10.23,118,0,48.26,32.45,"Equipo_5","Database","High","Success"
6.55,5.47,133,1,63.81,43.42,"Equipo_5","API","Low","Success"
12.78,8.46,127,0,96,30.76,"Equipo_1","Dashboard","Medium","Success"
8.21,8.94,120,1,56.03,35.78,"Equipo_2","Database","Low","Success"
9.33,7.46,132,0,47.99,6.98,"Equipo_1","API","Medium","Success"
5.94,5.98,136,0,46.89,45.29,"Equipo_5","Auth","Low","Success"
9.2,8.53,142,1,58.61,79.6,"Equipo_3","API","Medium","Success"
9.68,5.81,128,0,88.27,14.48,"Equipo_2","Auth","Medium","Failed"
10.92,11.21,115,0,70.75,32.7,"Equipo_2","API","Low","Failed"
7.4,12.04,107,1,73.97,11.3,"Equipo_5","Database","Low","Success"
5.77,8.45,121,0,53.18,29.59,"Equipo_5","Payments","Low","Success"
4.5,4.14,115,1,66.99,8.77,"Equipo_2","Payments","Low","Success"
6.67,10.41,127,1,86.83,7.05,"Equipo_3","API","Medium","Success"
12.84,5.81,114,0,73.38,21.44,"Equipo_5","Dashboard","Low","Success"
3.33,10.56,114,1,84.77,25.83,"Equipo_3","Payments","High","Success"
7.43,12.3,129,1,50.77,4.65,"Equipo_5","API","Medium","Success"
9.19,8.83,97,1,62.43,15.96,"Equipo_4","API","Critical","Success"
10.54,9.48,125,2,95.57,12.95,"Equipo_4","Auth","Medium","Success"
22.46,7.87,116,2,81.07,14.09,"Equipo_3","Auth","Medium","Success"
5.86,6.76,118,1,85.09,14.69,"Equipo_3","Database","Low","Success"
2.67,5.79,132,0,90.54,23.48,"Equipo_5","Database","Medium","Failed"
6.32,7.71,108,2,82.93,22.31,"Equipo_4","Payments","Medium","Success"
10.65,11.47,131,2,61.67,6.93,"Equipo_4","Database","Low","Success"
8.79,9.75,128,2,88.72,16.87,"Equipo_4","Payments","Low","Success"
8.48,7.49,111,2,73.12,31.1,"Equipo_4","API","Low","Success"
13.58,5.42,108,2,98.96,57.99,"Equipo_4","Auth","High","Success"
23.76,7.18,110,2,79.92,14.45,"Equipo_3","Dashboard","Medium","Failed"
8.85,5.82,123,2,72.18,20.55,"Equipo_2","Auth","Low","Success"
3.42,9.74,118,2,52.56,22.24,"Equipo_4","API","Low","Success"
6.73,4.65,120,3,56.3,13.87,"Equipo_1","Auth","Low","Success"
9.17,8.42,117,1,61.91,5.59,"Equipo_3","Database","Low","Success"
12.39,10.86,115,0,90.69,17.45,"Equipo_2","Dashboard","Low","Success"
8.39,9.42,115,5,83.4,8.71,"Equipo_1","Dashboard","Low","Success"
9.26,7.34,127,0,78.2,26.07,"Equipo_3","API","Medium","Success"
7.46,10.58,111,2,69.78,35.14,"Equipo_3","Auth","Low","Failed"
4.49,13.33,118,2,91.72,13.03,"Equipo_2","Payments","Low","Rolled_Back"
7.17,7.98,120,1,48.29,16.55,"Equipo_2","Payments","Medium","Success"
6.07,5.86,147,2,86.34,20.77,"Equipo_4","Payments","Medium","Success"
11.33,7.11,118,2,75.67,4.53,"Equipo_5","Dashboard","High","Success"
8.23,10.86,119,0,97.15,25.68,"Equipo_2","API","Low","Success"
7.32,12.11,119,0,88.89,68.95,"Equipo_3","Dashboard","Low","Rolled_Back"
6.28,7.36,113,1,60.64,20.01,"Equipo_1","Auth","Medium","Success"
4.52,7.03,101,0,74.1,9.25,"Equipo_4","Auth","Low","Failed"
11.57,7.1,113,3,48.07,14.67,"Equipo_5","Payments","Low","Success"
4.64,4.61,133,1,93.59,6.96,"Equipo_2","Payments","Medium","Success"
9.22,8.66,106,1,53.75,26.27,"Equipo_4","Dashboard","Medium","Success"
9,9.98,114,2,68.68,52.17,"Equipo_2","Payments","Low","Success"
16.04,7.8,120,7,50.82,24.71,"Equipo_3","Database","High","Success"
17.62,10.83,121,1,58.59,29.66,"Equipo_1","Dashboard","Medium","Success"
11.33,9.07,125,2,55.53,22.96,"Equipo_1","Database","Low","Success"
8.8,8.87,138,2,68.88,33.58,"Equipo_2","Database","Low","Success"
8.71,9.63,137,1,60.3,11.35,"Equipo_4","API","Low","Success"
15.29,8.94,119,0,93.32,42.21,"Equipo_4","Payments","Medium","Success"
13.38,6.2,127,1,57.19,26.27,"Equipo_4","Dashboard","Low","Success"
12.34,11.85,138,1,57.65,16.08,"Equipo_3","Auth","Medium","Success"
8.2,6.13,136,2,66.16,14.36,"Equipo_5","Dashboard","High","Success"
8.69,4.54,102,1,86.29,4.78,"Equipo_2","Payments","Medium","Success"
7.9,6.67,125,0,56.13,12.76,"Equipo_1","Database","Low","Success"
6.04,8.5,130,1,92.13,14.07,"Equipo_4","Database","Low","Success"
7.7,5.39,127,5,65.24,7.62,"Equipo_1","Auth","Medium","Success"
12.07,10.65,139,1,99.67,10.64,"Equipo_3","API","Critical","Success"
7.25,8.54,98,2,75.81,8.63,"Equipo_1","Auth","High","Success"
4.78,5.37,143,2,45.6,8.01,"Equipo_1","Dashboard","Medium","Failed"
10.21,12.84,135,0,63.33,46.31,"Equipo_3","Dashboard","Medium","Success"
14.58,8.05,112,2,57.56,37.97,"Equipo_4","Dashboard","Medium","Success"
3.28,5.07,134,2,88.04,38.09,"Equipo_1","API","Medium","Success"
17.08,8.38,128,0,75.03,33.3,"Equipo_2","Auth","Critical","Success"
8.54,12.71,124,1,80.97,17.51,"Equipo_5","Dashboard","Low","Success"
5.81,5.92,127,3,57.72,12.57,"Equipo_2","API","Medium","Success"
11.45,4.31,119,1,98.3,2.62,"Equipo_4","Dashboard","Low","Rolled_Back"
6.89,6.67,128,1,94.39,33.65,"Equipo_5","Auth","Medium","Success"
14.74,9.07,119,1,91.95,21.83,"Equipo_5","Database","Medium","Success"
7.81,7.25,117,1,96.78,18.45,"Equipo_3","API","Low","Success"
11.7,8.97,116,2,88.49,37.8,"Equipo_2","Payments","High","Success"
6.89,6.25,120,0,71.43,10.28,"Equipo_2","API","Medium","Success"
5.76,9.08,119,1,72.39,11.12,"Equipo_2","API","Low","Success"
7.68,9.14,147,0,61.58,30.4,"Equipo_5","Auth","Medium","Failed"
7.63,7.69,121,2,80.93,11.56,"Equipo_2","Database","Medium","Success"
10.13,8.65,103,0,91.86,6.79,"Equipo_3","Payments","High","Success"
17.85,8.66,134,0,59.23,10.29,"Equipo_1","Database","Medium","Rolled_Back"
15.75,9.05,107,3,46.86,12.78,"Equipo_4","Auth","Medium","Failed"
8.76,11.42,104,3,71.98,17.94,"Equipo_3","Dashboard","Medium","Success"
10.54,10.78,122,1,63.98,19.26,"Equipo_3","API","Low","Success"
17.23,13.19,122,1,67,3.24,"Equipo_4","Database","Low","Success"
9.38,13.3,134,1,74.23,11.14,"Equipo_5","Auth","High","Failed"
15.03,7.47,122,2,60.38,9.98,"Equipo_4","API","Medium","Success"
3.38,8.28,128,1,99.03,11.09,"Equipo_2","Payments","Medium","Success"
7.72,5.47,128,1,77.3,12.5,"Equipo_5","API","High","Success"
7.87,3.62,130,2,48.45,8.43,"Equipo_5","Payments","Medium","Failed"
6.45,10.59,115,3,83.65,4.71,"Equipo_5","Dashboard","Medium","Success"
18.17,8.94,124,2,70.65,8.07,"Equipo_3","Database","Medium","Success"
22.21,16.34,140,5,68.61,19.15,"Equipo_2","Auth","Medium","Success"
5.01,8.15,111,1,52.12,19.88,"Equipo_5","Auth","Low","Success"
11.11,7.47,125,2,91.38,24.85,"Equipo_2","Payments","Critical","Failed"
8.04,10.01,126,0,57.43,8.83,"Equipo_3","Dashboard","Medium","Success"
8.1,4.1,132,1,97.77,55.83,"Equipo_5","Database","Low","Success"
21.05,5.94,104,1,74.76,31.81,"Equipo_3","Auth","Low","Failed"
10.41,10.71,111,1,66.24,5.51,"Equipo_1","Payments","Low","Success"
7.76,8.62,129,1,84.11,7.94,"Equipo_3","Dashboard","Medium","Success"
4.82,8.81,123,4,76.93,29.51,"Equipo_1","Payments","High","Success"
7.85,8.28,133,2,66.06,16.13,"Equipo_5","Dashboard","Medium","Success"
7.8,4.94,109,1,83.11,22.12,"Equipo_1","Database","Low","Success"
10.05,3.56,120,1,90.27,21.32,"Equipo_4","Dashboard","Medium","Success"
7.95,3.84,131,2,57.35,15.71,"Equipo_5","Payments","Medium","Success"
5.01,9.87,133,7,67.13,16.61,"Equipo_3","Dashboard","Medium","Success"
5.69,7.89,121,2,67.69,35.59,"Equipo_4","Database","High","Failed"
5.28,7.87,114,1,52.84,15.57,"Equipo_4","Database","Medium","Success"
6.71,10.31,103,4,74.8,12.55,"Equipo_4","Auth","High","Failed"
15.97,10.98,96,3,89.29,16,"Equipo_3","Database","Low","Success"
10.29,4.59,141,1,49.04,0.91,"Equipo_3","Auth","Medium","Rolled_Back"
10.3,9.21,110,0,50.71,14.44,"Equipo_2","Auth","Low","Success"
4.03,12.04,102,0,79.02,14.75,"Equipo_5","Dashboard","Medium","Success"
6.27,12.23,129,0,59.84,17.9,"Equipo_2","Database","High","Failed"
3.29,8.01,127,2,85.28,9.97,"Equipo_2","Payments","Low","Failed"
6.1,10.32,119,2,55.84,9.9,"Equipo_5","API","Low","Success"
3.52,9.83,137,2,93.73,19.03,"Equipo_2","Auth","Medium","Success"
2.11,12.41,108,2,61.94,6.11,"Equipo_1","Payments","Medium","Success"
10.17,12.4,140,5,65.38,25.41,"Equipo_4","Payments","High","Success"
11.03,5.6,139,4,92.81,30.73,"Equipo_4","Dashboard","High","Failed"
1.21,6.03,129,1,75.56,18.11,"Equipo_4","Auth","Low","Success"
3.89,13.19,119,2,97.27,4.69,"Equipo_3","Database","Medium","Rolled_Back"
4.97,9.11,111,3,77.43,4.82,"Equipo_2","Dashboard","Low","Success"
13.16,6.96,125,1,71.81,13.86,"Equipo_5","Database","Low","Success"
9.23,9.44,138,2,95.91,5.57,"Equipo_5","Payments","Low","Success"
6.79,7.12,121,4,91.78,48.51,"Equipo_1","Payments","Medium","Success"
3.01,9.74,111,1,47.59,13.82,"Equipo_4","Database","Medium","Success"
8.32,6.31,109,1,90.15,9.1,"Equipo_1","Dashboard","Low","Success"
11.05,9.47,119,0,98.13,12.49,"Equipo_1","Auth","Low","Success"
5.88,11.56,129,2,52.51,22.4,"Equipo_1","Database","High","Success"
3.64,9.23,122,0,81.36,19.7,"Equipo_4","Dashboard","Medium","Failed"
7.32,8.54,108,1,71.48,12.5,"Equipo_4","Payments","Low","Success"
15.48,3.28,128,0,54.85,22.16,"Equipo_4","Dashboard","Medium","Success"
8.75,7.44,134,3,90.79,28.07,"Equipo_5","Auth","Medium","Success"
15.68,8.08,117,3,60.94,31.91,"Equipo_5","Database","High","Success"
10.48,9.3,106,1,69.44,16.26,"Equipo_2","Payments","Low","Success"
16.09,7.24,140,2,45.14,6.93,"Equipo_2","Database","Medium","Success"
5.7,7.82,120,1,64.92,44.28,"Equipo_5","Dashboard","High","Success"
13.03,8.81,133,3,59.07,4.13,"Equipo_5","Payments","Low","Success"
8.46,6.3,118,2,47.25,23.48,"Equipo_4","API","High","Failed"
7.77,8.43,119,3,64.2,10.34,"Equipo_2","Auth","High","Success"
3.83,8.16,129,8,60.16,24.19,"Equipo_4","Dashboard","Low","Success"
4.32,4.51,122,0,62.94,18.5,"Equipo_5","Payments","Medium","Success"
1.94,6.72,103,0,92.06,25.94,"Equipo_1","Dashboard","High","Success"
7.37,7.44,122,2,72.64,5.71,"Equipo_5","Database","Low","Success"
4.67,7.44,131,2,90.11,16.02,"Equipo_4","Payments","Medium","Success"
17.18,4.88,110,2,93.08,11.79,"Equipo_2","Payments","Low","Success"
12.29,9.95,139,1,74.45,67.45,"Equipo_5","Database","Low","Success"
25.98,10.94,113,5,80.74,30.44,"Equipo_5","API","Critical","Success"
5.94,7.59,113,1,68.66,17.67,"Equipo_2","Auth","Low","Success"
20.08,5.04,141,1,85.24,10.01,"Equipo_1","Payments","Medium","Success"
